Titre,image,information,templateavis,type1,information_lien
LA MAGIE DU RANGEMENT,https://assets.cantook.net/medias/53/f7b87cfd4f9521e388405b5cd51757b5f418e6.jpg?h=-&w=200,"
	 Kondo, Marie. Auteur     First Editions. Paris   | 2015 
","
		 Une méthode pour améliorer son quotidien et s'épanouir en rangeant de façon rationnelle et constante...
",,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782412015025/la-magie-du-rangement
L'ODEUR DE LA NUIT,https://assets.cantook.net/medias/f0/f135a244daef4b8b3fd294e5b8e0e901d1f43e.jpg?h=-&w=200,"
	 CAMILLERI, Andrea. Auteur     UNIVERS POCHE   | 2013 
","
		 Un homme d'affaires marron disparaît de Vigàta, et avec lui, les économies de bon nombre d'habitants...
",,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782823815276/l-odeur-de-la-nuit
A DÉCOUVERT,https://assets.cantook.net/medias/87/f1322528be1bc4e5d6dc43ab93141a2f2ae01d.jpg?h=-&w=200,"
	 Coben, Harlan (1962-....). Auteur     Fleuve noir. Paris   | 2012 
","
		 Nouveau lycée et nouvelle vie pour Mickey Bolitar, un adolescent venu s'installer chez son oncle sui...
",Noirs,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782823832778/a-decouvert
LES CENDRES D'ANGELA,https://assets.cantook.net/medias/9c/364575accaa385dfa2e96634a5615bbbbfc208.jpg?h=-&w=200,"
	 McCourt, Frank (1930-2009). Auteur     Belfond. Paris   | 2017 
","
		 Le récit véridique d'une enfance irlandaise ravagée par la pauvreté, la maladie et la mort, transfig...
",Littérature étrangère,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782714483089/les-cendres-d-angela
LES OUBLIÉS DE L'AMAS,https://assets.cantook.net/medias/3f/0996ef373733424ea6917c9e179fd166867671.jpg?h=-&w=200,"
	 Soulas, Floriane (1989-....). Auteur     Scrineo. Paris   | 2021 
","
		 L'humanité a colonisé tout le Système solaire à l'exception de Jupiter, restée inatteignable. Au fil...
",SF,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782367409245/les-oublies-de-l-amas
LA FEMME AU DRAGON ROUGE,https://assets.cantook.net/medias/ea/6d9934bcaa328e9c546ce6e802e7653c008968.jpg?h=-&w=200,"
	 Santos, José Rodrigues dos (1964-....). Auteur     Hervé Chopin éditions. Bordeaux   | 2023 
","
		 Au cours d'une fusillade devant la terrasse d'un café du temple d'Or d'Amritsar, une jeune femme voi...
",,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782357207127/la-femme-au-dragon-rouge
LES BALLADES DE CADENCE - TOME 01 LE REFRAIN ...,https://assets.cantook.net/medias/e4/4820eb88cd5b55f3bee1df550200931ef03fc2.jpg?h=-&w=200,"
	 Ross, Rebecca. Auteur     Eilean Books   | 2025 
","
		 Je ne suis qu'un couplet inspiré par ton refrain et je te suivrai jusqu'au bout.Une magie ancienne c...
",,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782385601249/les-ballades-de-cadence-tome-01-le-refrain-de-la-riviere-e-book
LOVELY WAR,https://assets.edenlivres.fr/medias/5e/028b542e7c12efb004719d0011f4184929eb00.jpg?h=-&w=200,"
	 Berry, Julie. Auteur     Flammarion jeunesse   | 2025 
","
		 Aphrodite le sait bien, seuls les humains sont capables d’aimer véritablement. 
À son époux jaloux e...
",,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782080474278/lovely-war
SŒURS DE HAINE,https://images.immateriel.fr/covers/D64PVE9.png,"
	 Lupu, Benjamin (1972-....). Auteur     Mnémos. Val-d'Oingt (Rhône)   | 2025 
","
		 Dans un royaume ravagé par les conflits religieux, Umbrod, jeune moine aux pouvoirs mystérieux, se r...
",Le solstice des ombres,https://bibliotheques.paris.fr/numerique/doc/DILICOM/3612226521855/s%C5%93urs-de-haine
LA THÉORIE DU BOURDON,https://assets.edenlivres.fr/medias/5c/d2724d0ea46ecb612c25bc8322d0ccd628eff3.jpg?h=-&w=200,"
	 Joubert, Paul (1993-....). Auteur     Maison Pop. Paris   | 2025 
","
		 Peter et ses amis ont des superpouvoirs. Il sait voler tandis que Mich tire des lasers, Jo court trè...
",Litté,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782488201186/la-theorie-du-bourdon
DEUX BOMBES SOUS LE RAINBOW WARRIOR. LES DERN...,https://assets.edenlivres.fr/medias/ed/02a14637cdd483d4c36b73f3f463b76c7b9ba5.jpg?h=-&w=200,"
	 Gattegno, Hervé. Auteur     Flammarion   | 2025 
","
		 Le 10 juillet 1985, en Nouvelle-Zélande, des agents de la DGSE font sauter le Rainbow Warrior, navir...
",,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782080468154/deux-bombes-sous-le-rainbow-warrior-les-derniers-secrets-de-l-affaire-qui-aurait-pu-couler-mitterran
LIVIE. IMPÉRATRICE DE ROME,https://assets.edenlivres.fr/medias/ae/3b844d4f76ed68a3bb7f655496a0005b4a2f2d.jpg?h=-&w=200,"
	 Cosme, Pierre. Auteur     Humensis   | 2025 
","
		 Livie est encore une figure méconnue de l’Antiquité. À côté de Messaline et d’Agrippine, elle semble...
",,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9782130887348/livie-imperatrice-de-rome
ATMOSPHÈRE,https://couverture.numilog.com/9782385294038_W300.jpg,"
	 Reid, Taylor Jenkins. Auteur     Charleston. Paris   | 2025 
","
		 Joan Goodwin est devenue astrophysicienne faute de pouvoir être astronaute, un métier réservé aux ho...
",,https://bibliotheques.paris.fr/numerique/doc/DILICOM/9628150611085/atmosphere
